,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_renovated,sqft_living15
0,221900,3,1,1180,1,0,0,7,1180,0,0,1340
1,538000,3,2,2570,2,0,0,7,2170,400,1991,1690
2,180000,2,1,770,1,0,0,6,770,0,0,2720
3,604000,4,3,1960,1,0,0,7,1050,910,0,1360
4,510000,3,2,1680,1,0,0,8,1680,0,0,1800
5,1225000,4,4,5420,1,0,0,11,3890,1530,0,4760
6,257500,3,2,1715,2,0,0,7,1715,0,0,2238
7,291850,3,1,1060,1,0,0,7,1060,0,0,1650
8,229500,3,1,1780,1,0,0,7,1050,730,0,1780
9,323000,3,2,1890,2,0,0,7,1890,0,0,2390
10,662500,3,2,3560,1,0,0,8,1860,1700,0,2210
11,468000,2,1,1160,1,0,0,7,860,300,0,1330
12,310000,3,1,1430,1,0,0,7,1430,0,0,1780
13,400000,3,1,1370,1,0,0,7,1370,0,0,1370
14,530000,5,2,1810,1,0,0,7,1810,0,0,1360
15,650000,4,3,2950,2,0,3,9,1980,970,0,2140
16,395000,3,2,1890,2,0,0,7,1890,0,0,1890
17,485000,4,1,1600,1,0,0,7,1600,0,0,1610
18,189000,2,1,1200,1,0,0,7,1200,0,0,1060
19,230000,3,1,1250,1,0,0,7,1250,0,0,1280
20,385000,4,1,1620,1,0,0,7,860,760,0,1400
21,2000000,3,2,3050,1,0,4,9,2330,720,0,4110
22,285000,5,2,2270,2,0,0,8,2270,0,0,2240
23,252700,2,1,1070,1,0,0,7,1070,0,0,1220
24,329000,3,2,2450,2,0,0,8,2450,0,0,2200
25,233000,3,2,1710,1,0,0,6,1710,0,0,1030
26,937000,3,1,2450,2,0,0,8,1750,700,0,1760
27,667000,3,1,1400,1,0,0,8,1400,0,0,1860
28,438000,3,1,1520,1,0,0,7,790,730,0,1520
29,719000,4,2,2570,2,0,0,8,2570,0,0,2630
30,580500,3,2,2320,2,0,0,8,2320,0,0,2580
31,280000,2,1,1190,3,0,0,7,1190,0,0,1390
32,687500,4,1,2330,1,0,0,7,1510,820,0,1460
33,535000,3,1,1090,1,0,0,8,1090,0,0,1570
34,322500,4,2,2060,1,0,0,7,1280,780,0,2020
35,696000,3,2,2300,1,0,0,8,1510,790,2002,1590
36,550000,4,1,1660,1,0,0,5,930,730,0,2160
37,640000,4,2,2360,2,0,0,8,2360,0,0,1730
38,240000,4,1,1220,1,0,0,7,890,330,0,1290
39,605000,4,2,2620,2,0,0,8,2620,0,0,2620
40,625000,4,2,2570,2,0,0,9,2570,0,0,2470
41,775000,4,2,4220,1,0,0,8,2600,1620,0,2410
42,861990,5,2,3595,2,0,0,9,3595,0,0,3625
43,685000,3,1,1570,2,0,0,7,1570,0,0,1580
44,309000,3,1,1280,1,0,0,6,920,360,0,1340
45,488000,3,2,3160,2,0,0,8,3160,0,0,3050
46,210490,3,1,990,1,0,0,6,990,0,0,1228
47,785000,4,2,2290,2,0,0,9,2290,0,0,2680
48,450000,3,1,1250,1,0,0,7,1250,0,0,970
49,1350000,3,2,2753,1,1,2,9,2165,588,0,2680
50,228000,3,1,1190,1,0,0,7,1190,0,0,1190
51,345000,5,2,3150,1,0,0,8,1640,1510,0,1990
52,600000,3,1,1410,1,0,0,7,1000,410,0,1410
53,585000,2,1,1980,1,0,0,7,990,990,0,1480
54,920000,5,2,2730,1,0,0,8,2130,600,0,2730
55,885000,4,2,2830,2,0,0,9,2830,0,0,1950
56,292500,4,2,2250,2,0,0,7,2250,0,0,2250
57,301000,3,2,2420,2,0,0,8,2420,0,0,2690
58,951000,5,3,3250,2,0,4,8,3250,0,0,2960
59,430000,4,3,1850,2,0,0,8,1850,0,0,2270
60,650000,3,2,2150,1,0,3,8,1590,560,0,2570
61,289000,3,1,1260,1,0,0,7,1260,0,0,1290
62,505000,3,1,2519,2,0,0,8,2519,0,0,2500
63,549000,3,1,1540,3,0,0,8,1540,0,0,1580
64,425000,3,2,1660,1,0,0,7,1110,550,0,1440
65,317625,3,2,2770,1,0,0,7,1770,1000,0,1440
66,975000,4,2,2720,2,0,0,10,2720,0,0,2750
67,287000,4,2,2240,2,0,0,7,2240,0,0,2221
68,204000,3,1,1000,1,0,0,7,1000,0,0,1010
69,1325000,5,2,3200,1,0,0,8,1600,1600,0,3390
70,1040000,5,3,4770,1,0,0,11,3070,1700,0,3530
71,325000,3,2,1260,1,0,0,7,1260,0,0,1640
72,571000,4,2,2750,1,0,0,7,2250,500,0,1510
73,360000,4,2,2380,2,0,0,8,2380,0,0,2420
74,349000,3,1,1790,1,0,0,7,1090,700,0,1940
75,832500,4,4,3430,2,0,0,10,2390,1040,0,3240
76,380000,4,1,1760,1,0,0,7,880,880,0,1680
77,480000,3,1,1040,1,0,0,7,1040,0,0,890
78,410000,3,1,1410,1,0,0,7,910,500,0,1130
79,720000,4,2,3450,2,0,0,10,3450,0,0,3350
80,390000,3,2,2350,2,0,0,8,2350,0,0,2350
81,360000,4,2,1900,2,0,0,7,1900,0,0,1870
82,355000,2,1,2020,1,0,0,7,1010,1010,0,1720
83,356000,3,1,1680,1,0,0,8,1680,0,0,1850
84,315000,3,1,960,1,0,0,6,960,0,0,1570
85,940000,3,1,2140,2,0,0,9,1900,240,0,2020
86,305000,5,2,2660,1,0,0,7,2660,0,0,1590
87,461000,3,3,2770,2,0,0,9,1980,790,0,1900
88,215000,2,2,1610,2,0,0,7,1610,0,0,1950
89,335000,2,1,1030,2,0,0,7,765,265,0,1030
90,243500,4,2,1980,2,0,0,7,1980,0,0,1980
91,1099880,5,2,3520,2,0,0,10,3520,0,0,2520
92,153000,3,1,1200,1,0,0,7,1200,0,0,1350
93,430000,3,1,1580,1,0,0,8,1290,290,0,1570
94,700000,3,1,1580,1,0,0,8,1290,290,0,1570
95,905000,4,2,3300,1,0,0,7,2390,910,1991,1950
96,247500,3,1,1960,1,0,0,7,1960,0,0,1750
97,199000,4,1,1160,1,0,0,7,1160,0,0,1160
98,314000,3,1,1810,1,0,0,7,1210,600,0,1650
99,437500,3,2,2320,2,0,2,9,2320,0,0,2550
100,850830,3,2,2070,1,0,0,9,1270,800,0,2200
101,555000,3,2,1980,1,0,0,7,1440,540,0,1610
102,699950,3,2,2190,2,0,0,8,2190,0,0,2570
103,1088000,3,2,2920,2,0,0,8,2920,0,2010,2370
104,290000,3,1,1210,1,0,0,7,1210,0,0,1640
105,375000,3,2,2340,1,0,0,8,1460,880,0,2250
106,460000,3,1,1670,1,0,0,7,1170,500,0,1240
107,188500,2,1,1240,1,0,0,8,1240,0,0,1270
108,680000,4,2,3140,2,0,0,10,3140,0,0,2990
109,470000,5,1,2030,2,0,0,7,2030,0,0,2500
110,597750,4,2,2310,2,0,0,8,2310,0,0,1940
111,570000,3,1,1260,1,0,0,6,700,560,0,1380
112,272500,3,1,1540,1,0,0,7,1160,380,0,1540
113,329950,3,1,2080,1,0,2,7,1080,1000,0,2090
114,480000,4,2,3230,2,0,3,9,2520,710,0,2640
115,740500,3,3,4380,2,0,0,8,2780,1600,1999,1830
116,518500,3,3,1590,3,0,0,8,1590,0,0,1620
117,205425,2,1,880,1,0,0,6,880,0,0,1190
118,171800,4,2,1570,1,0,0,6,1570,0,0,1880
119,535000,4,1,1610,1,0,0,7,1610,0,0,1610
120,660000,3,2,2400,1,0,2,8,1560,840,0,2340
121,391500,3,2,1450,1,0,0,7,1450,0,0,1580
122,395000,2,1,770,1,0,0,6,770,0,0,1710
123,445000,4,1,2100,1,0,0,7,1720,380,0,1850
124,770000,3,2,2910,2,0,0,9,2910,0,0,2700
125,1450000,4,2,2750,1,0,0,8,1980,770,1992,3060
126,445000,3,2,2100,1,0,2,8,1620,480,0,2660
127,260000,4,2,2160,1,0,0,8,1360,800,0,2090
128,822500,5,3,2320,2,0,0,7,1720,600,0,1700
